ubigeo,distrito,lista,votos,pct_validos,actas_pct
150101,"Cercado de Lima",Lista A,59426,32.28,35.0
150101,"Cercado de Lima",Lista B,82627,44.88,35.0
150101,"Cercado de Lima",Lista C,42046,22.84,35.0
150102,"Ancón",Lista A,11849,37.04,35.0
150102,"Ancón",Lista B,12135,37.94,35.0
150102,"Ancón",Lista C,8004,25.02,35.0
150103,"Ate",Lista A,127559,36.86,35.0
150103,"Ate",Lista B,122708,35.46,35.0
150103,"Ate",Lista C,95770,27.68,35.0
150104,"Barranco",Lista A,10552,43.95,35.0
150104,"Barranco",Lista B,8323,34.67,35.0
150104,"Barranco",Lista C,5134,21.38,35.0
150105,"Breña",Lista A,24217,37.81,35.0
150105,"Breña",Lista B,26671,41.64,35.0
150105,"Breña",Lista C,13161,20.55,35.0
150106,"Carabayllo",Lista A,84855,44.16,35.0
150106,"Carabayllo",Lista B,79264,41.25,35.0
150106,"Carabayllo",Lista C,28030,14.59,35.0
150107,"Chaclacayo",Lista A,12866,45.95,35.0
150107,"Chaclacayo",Lista B,10735,38.34,35.0
150107,"Chaclacayo",Lista C,4398,15.71,35.0
150108,"Chorrillos",Lista A,66653,30.84,35.0
150108,"Chorrillos",Lista B,81170,37.55,35.0
150108,"Chorrillos",Lista C,68336,31.61,35.0
150109,"Cieneguilla",Lista A,10393,43.29,35.0
150109,"Cieneguilla",Lista B,8392,34.96,35.0
150109,"Cieneguilla",Lista C,5223,21.76,35.0
150110,"Comas",Lista A,146565,46.27,35.0
150110,"Comas",Lista B,129792,40.98,35.0
150110,"Comas",Lista C,40386,12.75,35.0
150111,"El Agustino",Lista A,43146,33.68,35.0
150111,"El Agustino",Lista B,56055,43.76,35.0
150111,"El Agustino",Lista C,28898,22.56,35.0
150112,"Independencia",Lista A,44975,31.2,35.0
150112,"Independencia",Lista B,56544,39.23,35.0
150112,"Independencia",Lista C,42610,29.56,35.0
150113,"Jesús María",Lista A,17509,31.23,35.0
150113,"Jesús María",Lista B,16828,30.01,35.0
150113,"Jesús María",Lista C,21732,38.76,35.0
150114,"La Molina",Lista A,51146,49.14,35.0
150114,"La Molina",Lista B,30619,29.42,35.0
150114,"La Molina",Lista C,22323,21.45,35.0
150115,"La Victoria",Lista A,57029,44.52,35.0
150115,"La Victoria",Lista B,42556,33.22,35.0
150115,"La Victoria",Lista C,28514,22.26,35.0
150116,"Lince",Lista A,11669,29.14,35.0
150116,"Lince",Lista B,17733,44.29,35.0
150116,"Lince",Lista C,10637,26.57,35.0
150117,"Los Olivos",Lista A,108305,45.1,35.0
150117,"Los Olivos",Lista B,71804,29.9,35.0
150117,"Los Olivos",Lista C,60060,25.01,35.0
150118,"Lurigancho-Chosica",Lista A,67209,46.63,35.0
150118,"Lurigancho-Chosica",Lista B,49445,34.31,35.0
150118,"Lurigancho-Chosica",Lista C,27474,19.06,35.0
150119,"Lurín",Lista A,27236,48.58,35.0
150119,"Lurín",Lista B,16753,29.88,35.0
150119,"Lurín",Lista C,12079,21.54,35.0
150120,"Magdalena del Mar",Lista A,17778,40.38,35.0
150120,"Magdalena del Mar",Lista B,17371,39.45,35.0
150120,"Magdalena del Mar",Lista C,8879,20.17,35.0
150121,"Pueblo Libre",Lista A,19394,32.29,35.0
150121,"Pueblo Libre",Lista B,19509,32.48,35.0
150121,"Pueblo Libre",Lista C,21156,35.22,35.0
150122,"Miraflores",Lista A,23566,32.72,35.0
150122,"Miraflores",Lista B,23196,32.2,35.0
150122,"Miraflores",Lista C,25267,35.08,35.0
150123,"Pachacámac",Lista A,29203,40.54,35.0
150123,"Pachacámac",Lista B,21333,29.62,35.0
150123,"Pachacámac",Lista C,21493,29.84,35.0
150124,"Pucusana",Lista A,5356,55.85,35.0
150124,"Pucusana",Lista B,2585,26.96,35.0
150124,"Pucusana",Lista C,1648,17.19,35.0
150125,"Puente Piedra",Lista A,88411,44.18,35.0
150125,"Puente Piedra",Lista B,61401,30.68,35.0
150125,"Puente Piedra",Lista C,50317,25.14,35.0
150126,"Punta Hermosa",Lista A,3193,50.14,35.0
150126,"Punta Hermosa",Lista B,1914,30.05,35.0
150126,"Punta Hermosa",Lista C,1261,19.81,35.0
150127,"Punta Negra",Lista A,2784,49.72,35.0
150127,"Punta Negra",Lista B,1803,32.2,35.0
